ID,title,description,status,priority_code,category_code,technician_code,dueDate
11111111-1111-1111-1111-111111111111,Production Motor Failure,Production motor has stopped and is making abnormal noise. Production is currently stopped.,OPEN,HIGH,MECHANICAL,TECH01,2026-09-15
22222222-2222-2222-2222-222222222222,Temperature Sensor Error,Temperature sensor is showing incorrect readings on the production line.,OPEN,MEDIUM,ELECTRICAL,TECH02,2026-09-18
33333333-3333-3333-3333-333333333333,Water Pump Leakage,Water pump is leaking and water pressure has dropped significantly.,OPEN,HIGH,PLUMBING,TECH03,2026-09-13
44444444-4444-4444-4444-444444444444,HVAC Cooling Problem,HVAC unit is not cooling the production area properly.,OPEN,MEDIUM,HVAC,TECH04,2026-09-20
55555555-5555-5555-5555-555555555555,Network Connection Issue,Production monitoring system has lost network connectivity.,OPEN,HIGH,IT,TECH05,2026-09-14
66666666-6666-6666-6666-666666666666,Minor Motor Vibration,Motor has a small vibration but production is continuing normally.,OPEN,LOW,MECHANICAL,TECH01,2026-09-25
77777777-7777-7777-7777-777777777777,Electrical Panel Alarm,Electrical panel is showing an unexpected warning alarm.,OPEN,MEDIUM,ELECTRICAL,TECH02,2026-09-19
88888888-8888-8888-8888-888888888888,Pipe Pressure Drop,Water pipe pressure has decreased and needs inspection.,OPEN,MEDIUM,PLUMBING,TECH03,2026-09-21
99999999-9999-9999-9999-999999999999,Air Conditioning Failure,Air conditioning has completely stopped in the equipment room.,OPEN,HIGH,HVAC,TECH04,2026-09-16
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Printer Maintenance,Office printer is not printing correctly and requires maintenance.,OPEN,LOW,IT,TECH05,2026-09-30
